,id,title,overview,popularity,release_date,vote_average,vote_count,genre_ids,genres
1302,949567,The Exorcism of Hannah Stevenson,"Hannah and Matt, a young couple on their first holiday together, quickly discover that they may not see eye-to-eye. Feeling as though she let her boyfriend down, Hannah enlists the help of a mysterious gypsy woman, in the hope that the couple's troubles can be overcome. However, when Matt wakes to find his girlfriend has disappeared, the gypsy woman's sinister intentions become all too clear.",39.211,2022-03-14,5.9,32,"[14, 27]","['Fantasy', 'Horror']"
1303,257445,Goosebumps,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.",74.476,2015-08-05,6.3,3734,"[12, 27, 35]","['Adventure', 'Horror', 'Comedy']"
1304,1047041,Detective Conan: Black Iron Submarine,"Many engineers from around the world gather at the Interpol marine facility ""Pacific Buoy"" on Hachijo-jima, in the sea south of central Tokyo Prefecture coast, to witness the launch of a new system that connects all law enforcement camera systems around the world and enables facial recognition worldwide. Conan, along with his friends Kogoro, Ran, Agasa, Haibara, and the Detective Boys, also heads to the island with an invitation from Sonoko to see the whales. He receives a message from Subaru, who says that a Europol agent has been murdered in Germany by Gin. Perturbed, Conan sneaks onto the police ship led by Kuroda, which is bringing them to the island to protect the completion work, and tours the new facility, just in time for the Black Organization to kidnap a female engineer, seeking a piece of important data in her USB drive. A terrifying howl of screws is heard from the ocean as an unknown person approaches Haibara.",57.922,2023-04-14,6.835,97,"[16, 28, 80, 9648]","['Animation', 'Action', 'Crime', 'Mystery']"
1305,1180629,Kneecap,"When fate brings Belfast teacher JJ into the orbit of self-confessed 'low life scum' Naoise and Liam Og, the needle drops on a hip hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue.",74.42,2024-08-02,6.8,54,"[35, 18, 10402]","['Comedy', 'Drama', 'Music']"
1306,12230,One Hundred and One Dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement. In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",50.969,1961-01-25,7.2,6236,"[12, 16, 35, 10751]","['Adventure', 'Animation', 'Comedy', 'Family']"
1307,16237,Teen Titans: Trouble in Tokyo,"America's coolest heroes Teen Titans head to Japan as they spring into action when a new threat, the dichromatic ninja Saico-Tek, appears in their city. A chase across the city ensues, ending at Titans Tower. Saico-Tek is interrogated by Robin with the aid of a translation program, and reveals the identity of the one who sent him. The ninja then escapes his bonds and vanishes after destroying a fire sprinkler, and the Titans' only lead is to search for his mysterious master - the shadowy figure known as Brushogun.",74.341,2006-09-15,7.788,392,"[16, 28, 878, 10770]","['Animation', 'Action', 'Science Fiction', 'TV Movie']"
1308,15070,Undisputed,"Monroe Hutchens is the heavyweight champion of Sweetwater, a maximum security prison. He was convicted to a life sentence due to a passionate crime. Iceman Chambers is the heavyweight champion, who lost his title due to a rape conviction to ten years in Sweetwater. WHen these two giants collide in the same prison, they fight against each other disputing who is the real champion.",45.211,2002-07-17,6.5,719,"[18, 80]","['Drama', 'Crime']"
1309,857553,Johnny & Clyde,"Johnny and Clyde are two serial killers who are madly in love and on an endless crime spree. Alana (Megan Fox) is the confident and cunning owner of a prosperous casino that generates tens of millions of dollars each year. Johnny and Clyde decide to assemble a ragtag group of criminals and misfits to steal from Alana's casino and pull off the heist of the century. Unfortunately for Johnny and Clyde's crew, Alana has a deadly weapon at her disposal – the monstrous slasher spirit known as Bakwas.",44.125,2023-03-23,5.0,38,"[28, 53, 80]","['Action', 'Thriller', 'Crime']"
1310,1422,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",46.451,2006-10-04,8.2,14832,"[18, 53, 80]","['Drama', 'Thriller', 'Crime']"
1311,1200674,A Dark Story,"Vito and Carla have been separated for a long time, they have three children and used to love each other deeply before their love went sour. Now Vito has a new life and Carla has a partner. At a time when everyone feels tragedy can be avoided, fate is on their other side. One night, Vito disappeared. From that day on, no one ever heard from him again. His disappearance triggered an investigation involving all those involved. But is there really an irrefutable truth in these cases?",38.444,2024-05-16,7.385,13,"[53, 18]","['Thriller', 'Drama']"
1312,38055,Megamind,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",51.199,2010-10-28,6.998,6814,"[16, 28, 35, 10751, 878]","['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
1313,893694,Eva,"When Eva gets involved in a steamy threesome with a houseboy and her lady boss, she realizes she has to choose only one between them.",49.411,2021-12-24,5.333,15,"[18, 10749]","['Drama', 'Romance']"
1314,1949,Zodiac,"The zodiac murders cause the lives of Paul Avery, David Toschi and Robert Graysmith to intersect.",45.673,2007-03-02,7.5,10439,"[80, 18, 9648, 53]","['Crime', 'Drama', 'Mystery', 'Thriller']"
1315,223702,Sausage Party,Hot dog Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.,44.668,2016-07-11,5.749,7239,"[12, 16, 35, 14]","['Adventure', 'Animation', 'Comedy', 'Fantasy']"
1316,5174,Rush Hour 3,"After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?",63.163,2007-08-08,6.482,3264,"[28, 35, 80]","['Action', 'Comedy', 'Crime']"
1317,254320,The Lobster,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods.",73.8,2015-10-15,7.048,6180,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
1318,277834,Moana,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",47.182,2016-10-13,7.6,12358,"[12, 35, 10751, 16]","['Adventure', 'Comedy', 'Family', 'Animation']"
1319,405775,The Wall,An American sniper and his spotter engage in a deadly cat-and-mouse game with an Iraqi sniper.,41.658,2017-05-12,6.372,951,"[10752, 53, 18]","['War', 'Thriller', 'Drama']"
1320,28178,Hachi: A Dog's Tale,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,45.404,2009-06-08,8.006,6665,"[18, 10751]","['Drama', 'Family']"
1321,9353,Nacho Libre,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed.",44.898,2006-06-16,6.5,1613,"[35, 10751, 18]","['Comedy', 'Family', 'Drama']"
1322,139038,A Haunted House,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",49.148,2013-01-11,5.9,1881,"[35, 27]","['Comedy', 'Horror']"
1323,9702,Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",39.894,1993-02-05,8.143,1321,"[80, 28, 18, 53]","['Crime', 'Action', 'Drama', 'Thriller']"
1324,9919,How to Lose a Guy in 10 Days,"It's the battle of wills, as Andie needs to prove she can dump a guy in 10 days, whereas Ben needs to prove he can win a girl in 10 days. Now, the clock is ticking—and the wildly entertaining comedy smash is off and running in this irresistible tale of sex, lies and outrageous romantic fireworks!",46.14,2003-02-07,6.809,3905,"[35, 10749]","['Comedy', 'Romance']"
1325,13053,Bolt,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",45.383,2008-11-21,6.518,5996,"[16, 10751, 12, 35]","['Animation', 'Family', 'Adventure', 'Comedy']"
1326,1172604,Faro,"Lidia and her father, Pablo, return to the family lighthouse after her mother’s death. Pablo, aware of Lidia's fragile emotional balance, worries for a possible relapse after her suicide attempt. Lidia, annoyed by her father's lack of trust, will discover that something’s not right at the Lighthouse, and that danger awaits for them if they do not find out the truth.",34.998,2024-01-26,2.5,2,"[27, 53, 18]","['Horror', 'Thriller', 'Drama']"
1327,310,Bruce Almighty,"Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, NY, but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God - and the Almighty responds, endowing Bruce with all of His divine powers.",53.121,2003-05-23,6.7,10630,"[14, 35]","['Fantasy', 'Comedy']"
